datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,5,100,merged-average,true,0.35,0.87,0.39,1.0,0.15,0.44,0.31,0.41,1.0,0.35,0.3,0.42,0.65,0.57,0.41,1.0,1.0,0.44,0.44,0.53,0.43,0.4,0.92,1.0,1.0,0.4,0.62,0.57,1.0,0.69,0.7,0.33,0.21,1.0,0.55,0.37,0.56,0.45,1.0,0.4,0.28,0.68,0.64,0.3,0.4,1.0,1.0,1.0,0.68,0.47,0.62,0.64,0.89,0.99,0.69
udhr,10,100,merged-average,true,0.6,0.98,0.58,1.0,0.46,0.63,0.58,0.72,1.0,0.65,0.5,0.79,0.77,0.84,0.75,1.0,1.0,0.68,0.77,0.78,0.71,0.77,0.96,1.0,1.0,0.72,0.87,0.86,1.0,0.79,0.77,0.62,0.47,1.0,0.91,0.61,0.78,0.76,1.0,0.68,0.53,0.84,0.84,0.58,0.64,1.0,1.0,1.0,0.85,0.73,0.71,0.86,1.0,1.0,0.88
udhr,20,100,merged-average,true,0.75,0.99,0.84,1.0,0.73,0.87,0.77,0.9,1.0,0.85,0.91,0.97,0.88,0.92,0.93,1.0,1.0,0.8,0.92,0.97,0.94,0.99,1.0,1.0,1.0,0.94,0.98,0.94,1.0,0.9,0.91,0.77,0.78,1.0,0.98,0.76,0.94,0.8,1.0,0.85,0.7,0.97,0.96,0.73,0.93,1.0,1.0,1.0,0.94,0.95,0.93,0.98,1.0,1.0,0.98
udhr,50,100,merged-average,true,0.97,1.0,0.92,1.0,0.97,0.97,0.91,1.0,1.0,1.0,0.98,1.0,0.98,0.99,1.0,1.0,1.0,0.93,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.9,0.88,1.0,1.0,0.92,1.0,1.0,1.0,0.98,0.85,1.0,0.99,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,100,100,merged-average,true,1.0,1.0,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,300,100,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wordpress-translations,0,1,merged-average,true,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.98
wordpress-translations,5,10,merged-average,true,0.258,0.816,0.384,0.974,0.24,0.374,0.304,0.302,0.97,0.338,0.286,0.316,0.79,0.482,0.386,0.952,0.966,0.722,0.308,0.544,0.344,0.322,0.92,0.972,0.922,0.386,0.526,0.682,0.964,0.506,0.646,0.246,0.278,0.99,0.538,0.302,0.472,0.522,0.948,0.226,0.266,0.544,0.534,0.258,0.306,0.972,0.978,0.952,0.49,0.516,0.464,0.71,0.828,0.838,0.722
wordpress-translations,10,10,merged-average,true,0.422,0.926,0.594,0.972,0.386,0.646,0.476,0.598,0.972,0.636,0.542,0.65,0.888,0.808,0.666,0.962,0.986,0.834,0.57,0.814,0.572,0.624,0.926,0.978,0.97,0.708,0.73,0.832,0.974,0.68,0.792,0.516,0.478,0.99,0.806,0.568,0.734,0.678,0.982,0.494,0.472,0.784,0.752,0.486,0.526,0.992,0.978,0.972,0.69,0.748,0.628,0.894,0.95,0.832,0.856
wordpress-translations,20,10,merged-average,true,0.604,0.964,0.78,0.992,0.678,0.848,0.686,0.838,0.984,0.858,0.778,0.898,0.962,0.954,0.916,0.988,0.984,0.956,0.808,0.95,0.822,0.852,0.97,0.996,0.992,0.918,0.936,0.922,0.984,0.812,0.87,0.71,0.714,0.99,0.938,0.796,0.932,0.842,0.982,0.658,0.702,0.926,0.93,0.754,0.736,0.99,0.99,0.984,0.868,0.922,0.79,0.97,0.982,0.84,0.976
