datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,5,100,merged-average,true,0.36,0.87,0.39,1.0,0.15,0.45,0.3,0.38,1.0,0.36,0.27,0.43,0.65,0.58,0.41,1.0,1.0,0.44,0.48,0.53,0.44,0.41,0.92,1.0,1.0,0.4,0.62,0.57,1.0,0.69,0.7,0.34,0.22,1.0,0.58,0.37,0.58,0.45,1.0,0.4,0.28,0.66,0.65,0.29,0.46,1.0,1.0,1.0,0.68,0.48,0.62,0.64,0.89,0.99,0.69
udhr,10,100,merged-average,true,0.61,0.98,0.6,1.0,0.46,0.66,0.59,0.73,1.0,0.64,0.48,0.81,0.77,0.86,0.73,1.0,1.0,0.68,0.75,0.79,0.75,0.76,0.96,1.0,1.0,0.72,0.88,0.86,1.0,0.79,0.76,0.65,0.48,1.0,0.92,0.62,0.79,0.76,1.0,0.67,0.56,0.84,0.85,0.6,0.68,1.0,1.0,1.0,0.85,0.73,0.71,0.86,1.0,1.0,0.88
udhr,20,100,merged-average,true,0.78,0.99,0.85,1.0,0.73,0.87,0.76,0.91,1.0,0.87,0.9,0.97,0.88,0.97,0.93,1.0,1.0,0.8,0.92,0.97,0.94,1.0,1.0,1.0,1.0,0.94,0.98,0.94,1.0,0.9,0.91,0.77,0.79,1.0,0.98,0.77,0.94,0.8,1.0,0.85,0.73,0.98,0.98,0.73,0.93,1.0,1.0,1.0,0.95,0.95,0.93,0.98,1.0,1.0,0.98
udhr,50,100,merged-average,true,0.97,1.0,0.93,1.0,0.96,0.97,0.93,1.0,1.0,1.0,0.98,1.0,0.98,1.0,1.0,1.0,1.0,0.93,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.9,0.91,1.0,1.0,0.93,1.0,1.0,1.0,0.98,0.85,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,100,100,merged-average,true,1.0,1.0,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,300,100,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wordpress-translations,0,1,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.98
wordpress-translations,5,10,merged-average,true,0.256,0.814,0.4,0.974,0.252,0.372,0.308,0.304,0.97,0.32,0.276,0.32,0.79,0.488,0.386,0.952,0.964,0.722,0.3,0.544,0.342,0.312,0.92,0.968,0.922,0.4,0.518,0.658,0.964,0.504,0.644,0.25,0.276,0.99,0.544,0.31,0.476,0.52,0.948,0.222,0.264,0.544,0.528,0.254,0.308,0.972,0.978,0.952,0.504,0.522,0.466,0.71,0.826,0.838,0.724
wordpress-translations,10,10,merged-average,true,0.44,0.922,0.606,0.972,0.398,0.654,0.476,0.606,0.974,0.64,0.55,0.642,0.886,0.804,0.664,0.964,0.984,0.834,0.57,0.82,0.568,0.612,0.93,0.978,0.968,0.716,0.72,0.82,0.974,0.678,0.79,0.512,0.468,0.99,0.804,0.566,0.722,0.678,0.98,0.498,0.482,0.786,0.742,0.488,0.542,0.99,0.978,0.972,0.694,0.756,0.636,0.896,0.95,0.824,0.858
wordpress-translations,20,10,merged-average,true,0.63,0.964,0.79,0.992,0.692,0.848,0.68,0.846,0.984,0.86,0.764,0.908,0.962,0.95,0.914,0.988,0.984,0.956,0.814,0.954,0.834,0.856,0.97,0.996,0.992,0.916,0.932,0.91,0.984,0.812,0.868,0.712,0.716,0.99,0.938,0.788,0.936,0.842,0.982,0.666,0.704,0.914,0.928,0.748,0.744,0.99,0.99,0.984,0.87,0.918,0.8,0.968,0.98,0.836,0.974
