datasetName,substringLength,sampleSize,useShortProfile,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,5,100,false,false,NaN,0.87,0.45,1.0,NaN,0.64,0.32,0.4,1.0,0.34,0.34,0.43,0.61,0.57,0.45,1.0,1.0,1.0,0.65,0.54,0.46,0.46,0.93,NaN,1.0,0.45,0.65,0.56,1.0,NaN,NaN,0.45,0.2,1.0,0.57,0.37,0.56,0.45,NaN,NaN,NaN,NaN,0.67,0.33,NaN,1.0,1.0,1.0,0.76,0.5,0.62,0.69,0.72,0.99,0.67
udhr,10,100,false,false,NaN,0.97,0.55,1.0,NaN,0.84,0.64,0.77,1.0,0.64,0.54,0.79,0.77,0.83,0.78,1.0,1.0,1.0,0.9,0.82,0.81,0.74,0.96,NaN,1.0,0.75,0.89,0.86,1.0,NaN,NaN,0.74,0.46,1.0,0.91,0.59,0.76,0.74,NaN,NaN,NaN,NaN,0.84,0.61,NaN,1.0,1.0,1.0,0.85,0.73,0.71,0.87,0.89,1.0,0.87
udhr,20,100,false,false,NaN,0.99,0.88,1.0,NaN,0.97,0.81,0.94,1.0,0.84,0.91,0.99,0.84,0.92,0.95,1.0,1.0,1.0,0.99,0.97,0.95,1.0,1.0,NaN,1.0,0.94,0.98,0.93,1.0,NaN,NaN,0.91,0.78,1.0,0.98,0.74,0.94,0.81,NaN,NaN,NaN,NaN,0.96,0.75,NaN,1.0,1.0,1.0,0.94,0.95,0.94,0.97,0.99,1.0,0.99
udhr,50,100,false,false,NaN,1.0,0.94,1.0,NaN,1.0,0.92,1.0,1.0,1.0,0.99,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.98,1.0,NaN,NaN,1.0,0.87,1.0,1.0,0.94,1.0,1.0,NaN,NaN,NaN,NaN,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,100,100,false,false,NaN,1.0,0.99,1.0,NaN,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.94,1.0,1.0,0.99,1.0,1.0,NaN,NaN,NaN,NaN,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,300,100,false,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,0,1,false,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wordpress-translations,5,10,false,false,NaN,0.822,0.426,0.974,NaN,0.48,0.3,0.354,0.97,0.352,0.312,0.356,0.77,0.5,0.404,0.95,0.966,0.984,0.452,0.578,0.348,0.338,0.92,NaN,0.922,0.402,0.514,0.638,0.964,NaN,NaN,0.356,0.264,0.99,0.576,0.306,0.494,0.518,NaN,NaN,NaN,NaN,0.52,0.266,NaN,0.972,0.978,0.952,0.53,0.542,0.462,0.708,0.828,0.828,0.7
wordpress-translations,10,10,false,false,NaN,0.926,0.616,0.972,NaN,0.776,0.49,0.646,0.976,0.632,0.576,0.676,0.88,0.824,0.67,0.962,0.984,0.988,0.7,0.828,0.594,0.636,0.928,NaN,0.97,0.7,0.736,0.812,0.974,NaN,NaN,0.654,0.488,0.99,0.82,0.554,0.738,0.68,NaN,NaN,NaN,NaN,0.76,0.49,NaN,0.992,0.978,0.97,0.7,0.756,0.638,0.888,0.95,0.82,0.858
wordpress-translations,20,10,false,false,NaN,0.964,0.792,0.992,NaN,0.942,0.702,0.878,0.984,0.852,0.806,0.906,0.962,0.962,0.922,0.99,0.984,0.994,0.926,0.95,0.816,0.864,0.97,NaN,0.992,0.926,0.944,0.898,0.984,NaN,NaN,0.814,0.718,0.99,0.94,0.772,0.932,0.832,NaN,NaN,NaN,NaN,0.932,0.748,NaN,0.99,0.99,0.984,0.864,0.926,0.802,0.968,0.98,0.802,0.976
wordpress-translations,0,1,false,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.98
