datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,5,100,merged-average,true,0.35,0.87,0.4,1.0,0.15,0.44,0.3,0.38,1.0,0.36,0.27,0.43,0.65,0.57,0.41,1.0,1.0,0.44,0.51,0.53,0.45,0.4,0.92,1.0,1.0,0.4,0.62,0.56,1.0,0.69,0.7,0.33,0.2,1.0,0.57,0.39,0.57,0.45,1.0,0.41,0.27,0.63,0.65,0.29,0.46,1.0,1.0,0.98,0.68,0.49,0.6,0.64,0.89,0.99,0.69
udhr,10,100,merged-average,true,0.61,0.98,0.6,1.0,0.5,0.66,0.57,0.75,1.0,0.65,0.47,0.81,0.77,0.84,0.72,1.0,1.0,0.68,0.74,0.8,0.75,0.75,0.96,1.0,1.0,0.74,0.89,0.85,1.0,0.79,0.76,0.64,0.48,1.0,0.92,0.63,0.79,0.76,1.0,0.66,0.54,0.85,0.85,0.6,0.69,1.0,1.0,1.0,0.86,0.73,0.76,0.86,1.0,1.0,0.88
udhr,20,100,merged-average,true,0.79,0.99,0.87,1.0,0.73,0.88,0.77,0.94,1.0,0.88,0.9,0.97,0.88,0.97,0.94,1.0,1.0,0.8,0.91,0.97,0.94,1.0,1.0,1.0,1.0,0.94,0.97,0.94,1.0,0.9,0.91,0.78,0.8,1.0,0.98,0.77,0.94,0.79,1.0,0.83,0.77,0.98,0.97,0.73,0.93,1.0,1.0,1.0,0.94,0.95,0.93,0.98,1.0,1.0,0.98
udhr,50,100,merged-average,true,0.97,1.0,0.95,1.0,0.95,0.97,0.93,0.99,1.0,1.0,0.97,1.0,0.98,1.0,1.0,1.0,1.0,0.93,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.89,0.9,1.0,1.0,0.93,1.0,1.0,1.0,0.98,0.89,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,100,100,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,300,100,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wordpress-translations,0,1,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.86,0.98
wordpress-translations,5,10,merged-average,true,0.25,0.812,0.418,0.972,0.264,0.368,0.314,0.312,0.962,0.322,0.272,0.342,0.788,0.494,0.388,0.942,0.956,0.722,0.302,0.54,0.362,0.312,0.912,0.964,0.918,0.412,0.52,0.634,0.964,0.504,0.642,0.252,0.268,0.99,0.536,0.318,0.48,0.508,0.946,0.224,0.262,0.534,0.532,0.252,0.328,0.968,0.972,0.95,0.502,0.52,0.46,0.71,0.826,0.834,0.718
wordpress-translations,10,10,merged-average,true,0.452,0.912,0.616,0.968,0.41,0.652,0.476,0.59,0.966,0.638,0.542,0.636,0.88,0.796,0.65,0.962,0.968,0.83,0.556,0.804,0.564,0.6,0.92,0.976,0.962,0.716,0.722,0.824,0.974,0.67,0.792,0.496,0.466,0.99,0.804,0.554,0.726,0.668,0.968,0.492,0.498,0.778,0.738,0.484,0.546,0.986,0.976,0.964,0.688,0.752,0.638,0.884,0.948,0.81,0.846
wordpress-translations,20,10,merged-average,true,0.642,0.956,0.794,0.982,0.696,0.846,0.674,0.832,0.98,0.864,0.762,0.898,0.958,0.946,0.914,0.98,0.982,0.946,0.808,0.952,0.828,0.852,0.958,0.996,0.976,0.914,0.926,0.896,0.982,0.8,0.866,0.71,0.712,0.99,0.934,0.778,0.93,0.828,0.964,0.664,0.708,0.902,0.918,0.742,0.754,0.982,0.986,0.972,0.868,0.904,0.796,0.96,0.974,0.826,0.93
