datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,0,1,,true,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,0,1,merged-average,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,0,1,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,0,1,short-text,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,0,1,short-text,true,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,5,100,,false,NaN,0.9,0.38,1.0,NaN,0.63,0.29,0.45,1.0,0.38,0.27,0.43,0.6,0.59,0.42,1.0,1.0,1.0,0.58,0.54,0.45,0.44,0.9,NaN,1.0,0.44,0.65,0.64,1.0,NaN,NaN,0.46,0.27,1.0,0.55,0.39,0.5,0.5,NaN,NaN,NaN,NaN,0.7,0.31,NaN,1.0,1.0,1.0,0.77,0.49,0.6,0.68,0.88,0.98,0.49
udhr,5,100,,true,0.33,0.9,0.38,1.0,NaN,0.46,0.27,0.45,1.0,0.38,0.27,0.43,0.6,0.53,0.41,1.0,1.0,0.52,0.45,0.52,0.37,0.43,0.9,1.0,1.0,0.4,0.65,0.64,1.0,0.61,0.63,0.3,0.26,1.0,0.51,0.38,0.5,0.5,NaN,0.42,0.27,0.68,0.69,0.28,0.49,1.0,1.0,1.0,0.69,0.46,0.6,0.68,0.88,0.98,0.49
udhr,5,100,merged-average,false,NaN,0.87,0.4,1.0,NaN,0.67,0.32,0.43,1.0,0.36,0.31,0.43,0.65,0.58,0.46,1.0,1.0,1.0,0.61,0.53,0.48,0.44,0.91,NaN,1.0,0.43,0.63,0.58,1.0,NaN,NaN,0.47,0.21,1.0,0.6,0.39,0.56,0.46,NaN,NaN,NaN,NaN,0.64,0.34,NaN,1.0,1.0,1.0,0.76,0.49,0.62,0.64,0.9,0.99,0.69
udhr,5,100,merged-average,true,0.35,0.87,0.4,1.0,0.15,0.45,0.31,0.42,1.0,0.35,0.27,0.42,0.65,0.55,0.41,1.0,1.0,0.43,0.44,0.53,0.45,0.41,0.91,1.0,1.0,0.4,0.62,0.58,1.0,0.68,0.7,0.35,0.21,1.0,0.55,0.37,0.55,0.46,1.0,0.4,0.29,0.66,0.64,0.3,0.41,1.0,1.0,1.0,0.69,0.48,0.62,0.64,0.89,0.99,0.69
