datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,5,100,merged-average,true,0.34,0.86,0.37,1.0,0.15,0.48,0.31,0.4,1.0,0.32,0.28,0.39,0.66,0.51,0.4,1.0,1.0,0.41,0.43,0.53,0.48,0.39,0.91,1.0,1.0,0.39,0.62,0.54,1.0,0.63,0.66,0.33,0.24,1.0,0.53,0.38,0.55,0.43,1.0,0.41,0.26,0.62,0.64,0.29,0.42,1.0,1.0,1.0,0.66,0.51,0.58,0.63,0.88,0.99,0.68
udhr,10,100,merged-average,true,0.56,0.97,0.57,1.0,0.45,0.67,0.59,0.72,1.0,0.65,0.5,0.81,0.76,0.81,0.73,1.0,1.0,0.65,0.72,0.78,0.7,0.82,0.97,1.0,1.0,0.7,0.86,0.84,1.0,0.78,0.73,0.64,0.44,1.0,0.93,0.6,0.76,0.79,1.0,0.64,0.54,0.77,0.83,0.55,0.65,1.0,1.0,1.0,0.85,0.71,0.68,0.85,0.99,1.0,0.89
udhr,20,100,merged-average,true,0.73,1.0,0.84,1.0,0.73,0.87,0.75,0.93,1.0,0.87,0.91,0.95,0.88,0.93,0.94,1.0,1.0,0.8,0.9,0.97,0.94,0.99,1.0,1.0,1.0,0.92,0.97,0.94,1.0,0.9,0.9,0.77,0.8,1.0,0.98,0.75,0.94,0.81,1.0,0.8,0.68,0.97,0.96,0.71,0.9,1.0,1.0,1.0,0.94,0.93,0.93,0.97,1.0,1.0,0.98
udhr,50,100,merged-average,true,0.96,1.0,0.91,1.0,0.95,0.96,0.92,1.0,1.0,1.0,0.96,1.0,0.98,0.99,1.0,1.0,1.0,0.93,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.9,0.88,1.0,1.0,0.94,1.0,1.0,1.0,0.97,0.83,1.0,0.99,0.98,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,100,100,merged-average,true,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,300,100,merged-average,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wordpress-translations,0,1,merged-average,true,1.0,1.0,1.0,1.0,0.98,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.98,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.98
wordpress-translations,5,10,merged-average,true,0.244,0.816,0.416,0.974,0.254,0.37,0.296,0.296,0.968,0.326,0.268,0.288,0.792,0.462,0.408,0.95,0.964,0.732,0.314,0.542,0.342,0.31,0.92,0.968,0.922,0.39,0.466,0.654,0.964,0.496,0.618,0.232,0.284,0.99,0.532,0.302,0.458,0.536,0.946,0.22,0.266,0.508,0.542,0.25,0.282,0.97,0.978,0.952,0.486,0.514,0.442,0.71,0.818,0.838,0.722
wordpress-translations,10,10,merged-average,true,0.428,0.922,0.606,0.972,0.396,0.648,0.464,0.578,0.976,0.61,0.538,0.618,0.888,0.77,0.654,0.96,0.984,0.836,0.576,0.802,0.58,0.59,0.928,0.978,0.968,0.69,0.704,0.818,0.974,0.662,0.748,0.5,0.474,0.99,0.784,0.556,0.726,0.674,0.982,0.448,0.472,0.764,0.758,0.486,0.492,0.99,0.978,0.97,0.692,0.75,0.596,0.878,0.948,0.844,0.862
wordpress-translations,20,10,merged-average,true,0.614,0.964,0.784,0.992,0.68,0.84,0.664,0.822,0.984,0.846,0.76,0.888,0.96,0.954,0.914,0.988,0.984,0.964,0.812,0.956,0.816,0.83,0.968,0.996,0.99,0.922,0.934,0.922,0.984,0.798,0.842,0.706,0.726,0.99,0.934,0.768,0.92,0.85,0.984,0.634,0.692,0.904,0.928,0.754,0.702,0.99,0.99,0.978,0.864,0.914,0.77,0.968,0.98,0.858,0.964
