datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,5,100,,false,NaN,0.85,0.4,1.0,NaN,0.68,0.28,0.45,1.0,0.36,0.35,0.41,0.66,0.53,0.43,1.0,1.0,1.0,0.63,0.54,0.47,0.43,0.92,NaN,1.0,0.39,0.66,0.6,1.0,NaN,NaN,0.49,0.22,1.0,0.6,0.36,0.53,0.45,NaN,NaN,NaN,NaN,0.66,0.31,NaN,1.0,1.0,1.0,0.73,0.5,0.66,0.66,0.9,0.99,0.69
udhr,10,100,,false,NaN,0.97,0.59,1.0,NaN,0.85,0.59,0.76,1.0,0.7,0.53,0.79,0.76,0.83,0.79,1.0,1.0,1.0,0.9,0.82,0.8,0.77,0.96,NaN,1.0,0.76,0.88,0.87,1.0,NaN,NaN,0.77,0.46,1.0,0.91,0.62,0.77,0.74,NaN,NaN,NaN,NaN,0.84,0.62,NaN,1.0,1.0,1.0,0.87,0.74,0.73,0.86,0.99,1.0,0.89
udhr,20,100,,false,NaN,1.0,0.85,1.0,NaN,0.96,0.82,0.94,1.0,0.87,0.91,0.98,0.87,0.94,0.94,1.0,1.0,1.0,0.99,0.97,0.98,0.99,1.0,NaN,1.0,0.95,0.97,0.96,1.0,NaN,NaN,0.9,0.76,1.0,0.98,0.79,0.94,0.75,NaN,NaN,NaN,NaN,0.98,0.77,NaN,1.0,1.0,1.0,0.94,0.95,0.95,0.98,1.0,1.0,0.97
udhr,50,100,,false,NaN,1.0,0.95,1.0,NaN,1.0,0.93,1.0,1.0,1.0,0.98,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.99,1.0,NaN,NaN,1.0,0.87,1.0,1.0,0.95,1.0,1.0,NaN,NaN,NaN,NaN,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,100,100,,false,NaN,1.0,1.0,1.0,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.95,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,300,100,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.99,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wordpress-translations,0,1,,false,NaN,1.0,1.0,1.0,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.98
wordpress-translations,5,10,,false,NaN,0.81,0.388,0.976,NaN,0.482,0.296,0.348,0.972,0.38,0.298,0.362,0.792,0.484,0.43,0.952,0.966,0.984,0.436,0.566,0.354,0.346,0.92,NaN,0.926,0.402,0.506,0.668,0.964,NaN,NaN,0.376,0.266,0.99,0.578,0.346,0.474,0.538,NaN,NaN,NaN,NaN,0.542,0.264,NaN,0.972,0.978,0.952,0.532,0.542,0.45,0.712,0.834,0.838,0.73
wordpress-translations,10,10,,false,NaN,0.926,0.592,0.972,NaN,0.788,0.508,0.642,0.974,0.664,0.558,0.676,0.896,0.8,0.69,0.96,0.984,0.988,0.7,0.82,0.592,0.616,0.924,NaN,0.97,0.704,0.728,0.84,0.974,NaN,NaN,0.672,0.484,0.99,0.808,0.59,0.742,0.69,NaN,NaN,NaN,NaN,0.762,0.496,NaN,0.992,0.978,0.97,0.706,0.76,0.626,0.892,0.952,0.832,0.888
wordpress-translations,20,10,,false,NaN,0.968,0.772,0.992,NaN,0.924,0.69,0.846,0.984,0.87,0.78,0.904,0.964,0.956,0.936,0.982,0.984,0.994,0.92,0.956,0.834,0.872,0.968,NaN,0.992,0.916,0.94,0.912,0.988,NaN,NaN,0.812,0.718,0.99,0.942,0.798,0.934,0.838,NaN,NaN,NaN,NaN,0.934,0.742,NaN,0.99,0.99,0.984,0.862,0.922,0.82,0.97,0.982,0.854,0.988
