datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,5,100,,false,NaN,0.87,0.39,1.0,NaN,0.66,0.32,0.42,1.0,0.35,0.32,0.43,0.65,0.59,0.46,1.0,1.0,1.0,0.61,0.51,0.48,0.43,0.92,NaN,1.0,0.43,0.63,0.57,1.0,NaN,NaN,0.46,0.21,1.0,0.6,0.38,0.57,0.45,NaN,NaN,NaN,NaN,0.64,0.33,NaN,1.0,1.0,1.0,0.75,0.49,0.62,0.64,0.9,0.99,0.69
udhr,10,100,,false,NaN,0.98,0.58,1.0,NaN,0.82,0.6,0.73,1.0,0.65,0.52,0.81,0.77,0.84,0.8,1.0,1.0,1.0,0.92,0.8,0.8,0.78,0.96,NaN,1.0,0.74,0.87,0.86,1.0,NaN,NaN,0.75,0.48,1.0,0.92,0.63,0.78,0.76,NaN,NaN,NaN,NaN,0.85,0.63,NaN,1.0,1.0,1.0,0.89,0.73,0.71,0.86,1.0,1.0,0.88
udhr,20,100,,false,NaN,0.99,0.84,1.0,NaN,0.95,0.79,0.93,1.0,0.87,0.91,0.98,0.88,0.92,0.93,1.0,1.0,1.0,0.99,0.97,0.95,0.98,1.0,NaN,1.0,0.94,0.98,0.94,1.0,NaN,NaN,0.91,0.79,1.0,0.98,0.77,0.94,0.8,NaN,NaN,NaN,NaN,0.96,0.73,NaN,1.0,1.0,1.0,0.95,0.95,0.93,0.98,1.0,1.0,0.98
udhr,50,100,,false,NaN,1.0,0.92,1.0,NaN,1.0,0.91,1.0,1.0,1.0,0.98,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.99,1.0,NaN,NaN,1.0,0.88,1.0,1.0,0.93,1.0,1.0,NaN,NaN,NaN,NaN,0.99,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,100,100,,false,NaN,1.0,1.0,1.0,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.94,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,300,100,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wordpress-translations,0,1,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.98
wordpress-translations,5,10,,false,NaN,0.816,0.384,0.974,NaN,0.476,0.312,0.358,0.97,0.362,0.326,0.36,0.79,0.494,0.41,0.952,0.966,0.984,0.444,0.564,0.368,0.348,0.92,NaN,0.922,0.402,0.53,0.682,0.964,NaN,NaN,0.37,0.28,0.99,0.568,0.344,0.484,0.522,NaN,NaN,NaN,NaN,0.542,0.264,NaN,0.972,0.978,0.952,0.55,0.536,0.464,0.71,0.832,0.838,0.724
wordpress-translations,10,10,,false,NaN,0.926,0.594,0.972,NaN,0.772,0.492,0.658,0.972,0.644,0.572,0.68,0.888,0.816,0.696,0.962,0.986,0.988,0.708,0.82,0.598,0.634,0.928,NaN,0.97,0.718,0.736,0.83,0.974,NaN,NaN,0.668,0.486,0.99,0.82,0.584,0.742,0.678,NaN,NaN,NaN,NaN,0.76,0.492,NaN,0.992,0.978,0.97,0.704,0.75,0.628,0.894,0.95,0.834,0.86
wordpress-translations,20,10,,false,NaN,0.962,0.78,0.992,NaN,0.926,0.694,0.866,0.984,0.862,0.8,0.906,0.962,0.956,0.928,0.988,0.984,0.994,0.922,0.95,0.828,0.866,0.97,NaN,0.992,0.922,0.938,0.92,0.984,NaN,NaN,0.832,0.722,0.99,0.942,0.808,0.94,0.844,NaN,NaN,NaN,NaN,0.932,0.758,NaN,0.99,0.99,0.984,0.874,0.922,0.79,0.97,0.982,0.852,0.972
