datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,5,100,,false,NaN,0.88,0.38,1.0,NaN,0.64,0.28,0.44,1.0,0.37,0.28,0.44,0.6,0.58,0.42,1.0,1.0,1.0,0.62,0.54,0.47,0.45,0.87,NaN,1.0,0.45,0.65,0.65,1.0,NaN,NaN,0.45,0.27,1.0,0.55,0.4,0.51,0.47,NaN,NaN,NaN,NaN,0.69,0.32,NaN,1.0,1.0,1.0,0.77,0.49,0.6,0.68,0.89,0.99,0.69
udhr,10,100,,false,NaN,0.98,0.52,1.0,NaN,0.84,0.6,0.77,1.0,0.66,0.47,0.81,0.78,0.83,0.81,1.0,1.0,1.0,0.88,0.79,0.81,0.78,0.95,NaN,1.0,0.76,0.9,0.88,1.0,NaN,NaN,0.76,0.45,1.0,0.91,0.6,0.76,0.72,NaN,NaN,NaN,NaN,0.85,0.61,NaN,1.0,1.0,1.0,0.9,0.76,0.68,0.87,1.0,1.0,0.88
udhr,20,100,,false,NaN,0.99,0.76,1.0,NaN,0.96,0.83,0.93,1.0,0.91,0.91,0.98,0.87,0.93,0.94,1.0,1.0,1.0,0.99,0.96,0.97,0.98,0.99,NaN,1.0,0.93,0.99,0.96,1.0,NaN,NaN,0.88,0.77,1.0,0.98,0.82,0.94,0.83,NaN,NaN,NaN,NaN,0.97,0.77,NaN,1.0,1.0,1.0,0.94,0.95,0.93,0.98,1.0,1.0,0.97
udhr,50,100,,false,NaN,1.0,0.91,1.0,NaN,1.0,0.94,1.0,1.0,1.0,0.95,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.99,1.0,NaN,NaN,1.0,0.85,1.0,1.0,0.97,1.0,1.0,NaN,NaN,NaN,NaN,0.99,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,100,100,,false,NaN,1.0,0.98,1.0,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.93,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,300,100,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.99,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wordpress-translations,0,1,,false,NaN,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.98
wordpress-translations,5,10,,false,NaN,0.816,0.374,0.974,NaN,0.468,0.29,0.326,0.97,0.3,0.264,0.338,0.742,0.504,0.37,0.95,0.966,0.984,0.444,0.576,0.364,0.316,0.91,NaN,0.926,0.42,0.534,0.672,0.964,NaN,NaN,0.324,0.26,0.99,0.54,0.312,0.462,0.46,NaN,NaN,NaN,NaN,0.528,0.268,NaN,0.972,0.978,0.954,0.562,0.518,0.456,0.736,0.818,0.834,0.7
wordpress-translations,10,10,,false,NaN,0.936,0.586,0.972,NaN,0.732,0.454,0.624,0.978,0.582,0.512,0.65,0.86,0.82,0.63,0.96,0.984,0.988,0.702,0.828,0.61,0.604,0.928,NaN,0.97,0.714,0.746,0.838,0.974,NaN,NaN,0.6,0.454,0.99,0.792,0.57,0.686,0.634,NaN,NaN,NaN,NaN,0.756,0.46,NaN,0.992,0.978,0.972,0.728,0.752,0.614,0.912,0.952,0.836,0.842
wordpress-translations,20,10,,false,NaN,0.97,0.764,0.992,NaN,0.908,0.684,0.822,0.984,0.796,0.752,0.912,0.95,0.948,0.894,0.988,0.984,0.994,0.916,0.954,0.84,0.856,0.966,NaN,0.992,0.91,0.938,0.932,0.986,NaN,NaN,0.79,0.672,0.99,0.93,0.788,0.892,0.808,NaN,NaN,NaN,NaN,0.932,0.72,NaN,0.99,0.99,0.984,0.874,0.924,0.756,0.968,0.982,0.852,0.904
